# Location database data run 2014 Oct 7
# =====================================================================================================================
# On tethys:
#
# \f |
# \a
# select l.*,n.easting,n.northing from location_data l left outer join naptan n on l.crs=n.crscode order by location;
# =====================================================================================================================
id|location|crs|nlc|tiploc|stanox|station|delay_monitor_point|data|notes|easting|northing
1|Aachen||081601|AACHEN|5|f|f|f|||
2|Abbeyhill Junction||937800|ABHLJN|4309|f|f|f|||
3|Abbey Level Crossing (Staffordshire)||130201|||f|f|f|||
4|Abbey Road DLR|ZAL|075000|||t|f|f|||
5|Abbey Wood|ABW|513100|ABWD|88601|t|f|f||547374|179035
6|Abbey Wood SST||572100|||f|f|f|||
7|Abbey Wood Ticket Office||513120|||f|f|f|||
8|Abbotswood Junction|AWJ|470412|ABTSWDJ|67371|t|f|f|||
9|Aber|ABE|381300|ABER|78371|t|f|f||314870|186950
10|Aberaeron (Alban Square)|AER|406802|ABARASQ||t|f|f|||
11|Aberbeeg||369600|ABRBEG|76639|f|f|f|||
12|Aberbeeg Signal Box||369665|||f|f|f|||
13|Abercwmboi|ABI|385964|ABCWM|78128|t|f|f|||
14|Abercwmboi Phum/Plant Inlet||386011|ABCWMPI||f|f|f|||
15|Abercwmboi Phum/Plant Outlet||386012|ABCWMPO||f|f|f|||
16|Abercynon(formerly Abercynon South)|ACY|380100|ABRCYNS|78204|t|f|f||308278|194824
17|Abercynon Junction||380113|ABRCJN|78205|f|f|f|||
18|Abercynon Junction||380163|||f|f|f|||
19|Abercynon North|ABR|380300|ABRCYNN|78203|t|f|f|||
20|Abercynon Signal Box||385763|ABRCNSB||f|f|f|||
21|Aberdare|ABA|398200|ABDARE|78100|t|f|f||300400|202800
22|Aberdare Diesel Sidings||398211|ABDADS|78101|f|f|f|||
23|Aberdare Penywaun (By Bus)|XPZ|398202|ABDAPEN||f|f|f|||
24|Aberdare SST||331100|||f|f|f|||
25|Aberdare Station||335728|||f|f|f|||
26|Aberdare Transrail||398201|||f|f|f|||
27|Aberdare Trecynon (By Bus)|XTO|398203|ABDATRE||f|f|f|||
28|Aberdare Valley Freight||380269|||f|f|f|||
29|Aberdeen|ABD|897600|ABRDEEN|2071|t|f|f||394127|805872
30|Aberdeen Carless||||2107|f|f|f|||
31|Aberdeen Clayhills Carriage Maintenance Depot|XAC|897678|ABRDCH|2075|f|f|f|||
32|Aberdeen Ferryhill Down Sidings||897663|ABRDFDS|2083|f|f|f|||
33|Aberdeen Ferryhill Goods Loop||887016|ABRDFGL|2084|f|f|f|||
34|Aberdeen Ferryhill Junction||897662|ABRDFJN|2082|f|f|f|||
35|Aberdeen Ferryhill Sidings||||2081|f|f|f|||
36|Aberdeen Ferryhill Up Sidings||887012|ABRDFUS|2086|f|f|f|||
37|Aberdeen Guild Street DRS||887018|ABRDNDS|2068|f|f|f|||
38|Aberdeen Guild Street Freight Depot||887000|ABRDNGS|2070|f|f|f|||
39|Aberdeen Guild Street GB Railfreight||887019|ABRDGBR|2076|f|f|f|||
40|Aberdeen Harbour||||2064|f|f|f|||
41|Aberdeen Holding Sidings||887015|ABRDNHS|2077|f|f|f|||
42|Aberdeen JG Russell||887011|ABRDRSL|2074|f|f|f|||
43|Aberdeen Kittybrewster|||ABRDKTB|2060|f|f|f|||
44|Aberdeen North Siding||897610|ABRDNS|2067|f|f|f|||
45|Aberdeen Parcels Dock||897616|ABRDPDK|2069|f|f|f|||
46|Aberdeen Service Co (Aberdeen Guild Street)||887014|ABRDSVC|2072|f|f|f|||
47|Aberdeen Signal A27||897617|ABRD27|2080|f|f|f|||
48|Aberdeen Signal A75||897614|ABRD75|2078|f|f|f|||
49|Aberdeen Signal A77||897615|ABRD77|2079|f|f|f|||
50|Aberdeen Wagon Repair Depot English Welsh & Scottish Railway||||2073|f|f|f|||
51|Aberdeen Waterloo||887300|ABRDWAT|2061|f|f|f|||
52|Aberdeen Waterloo GB Railfreight||887050|ABRDWGB|2062|f|f|f|||
53|Aberdour|AUR|909000|ABDO|3295|t|f|f||319100|685400
54|Aberdovey|AVY|443500|ABDVY|64409|t|f|f||260600|296000
55|Abererch|ABH|444000|ABRE|64506|t|f|f||240400|336100
56|Aberffrwd|AFD|431600|ABRFRWD||t|f|f|||
57|Abergavenny|AGV|360200|ABRGVNY|76251|t|f|f||330500|213600
58|Abergavenny Penpergwyn||360240|ABRGPGN|76248|f|f|f|||
59|Abergavenny Up Sidings||360220|ABRGUS|76250|f|f|f|||
60|Abergele & Pensarn|AGL|244800|ABGLELE|40073|t|f|f||294612|378681
61|Abergynolwyn||192462|ABGNWYN||f|f|f|||
62|Aber Junction||381263|ABJN||f|f|f|||
63|Abernant|||ABRNANT||f|f|f|||
64|Aberpergwm|APW|421686|ABRPGWM|79519|t|f|f|||
65|Aberthaw||380400|ABTH|78903|f|f|f|||
66|Aberthaw Cement Works|AWC|380424|ABTHWCC|78905|t|f|f|||
67|Aberthaw Cement Works Lafarg||380423|ABTHLAF|78902|f|f|f|||
68|Aberthaw Exchange Sidings|||ABTHEXS||f|f|f|||
69|Aberthaw Marcroft||||78909|f|f|f|||
70|Aberthaw National Power Oil Siding|AWN|380426|ABTHOSD|78904|t|f|f|||
71|Aberthaw Power Station Cripple Siding English Welsh & Scottish Railway Carriage & Wagon||||78907|f|f|f|||
72|Aberthaw Power Station English Welsh & Scottish Railway||380425|ABTHPS|78904|f|f|f|||
73|Aberthaw Power Station Freightliner Heavy Haul||380429|ABTHPST|78908|f|f|f|||
74|Aberthaw Reception Sidings|ARS|380428|ABTHRCP|78906|t|f|f|||
75|Aberthaw Signal A13||380410|ABTHA13|78904|f|f|f|||
76|Aberthaw Signal A39||380405|ABTHA39|78900|f|f|f|||
77|Aberthaw Signal AW222||380401|ABTH222|78916|f|f|f|||
78|Aberthaw Signal AW231||380402|ABTH231|78919|f|f|f|||
79|Aberthaw [unknown feature]||||94600|f|f|f|||
80|Aberystwyth|AYW|430300|ABRYSTH|64607|t|f|f||258500|281600
81|Aberystwyth Afon Wen Level Crossing||430304|ABRYAFO|64505|f|f|f|||
82|Aberystwyth Dole Level Crossing|DOE|419300|ABLCXX||t|f|f|||
83|Aberystwyth Run Round Loop||430305|ABRYRRL|64609|f|f|f|||
84|Aberystwyth Shell Sidings||430311|ABRYSHE|64608|f|f|f|||
85|Aberystwyth Station Sidings||430310|ABRYSNS|64607|f|f|f|||
86|Aberystwyth University|||ABRYUNI||f|f|f|||
87|Abingdon High Street Bus Stop|XAE|303002|ABNGHST||f|f|f|||
88|Abingdon Stratton Way||303007|ABNGSTR||f|f|f|||
89|Abingdon Stratton Way Bus Stop||303003|ABNGWAY||f|f|f|||
90|Abington||969700|ABINGTN|7972|f|f|f|||
91|Abington Civil Engineernulls Siding||969765|ABINCE|7947|f|f|f|||
92|Abington Down Passenger Loop||969767|ABINDPL|7971|f|f|f|||
93|Abington Down Siding||969770|ABINDS|7948|f|f|f|||
94|Abington Up Passenger Loop||969769|ABINUPL|7970|f|f|f|||
95|Aboyne (Main Street)|ABO|027500|||t|f|f|||
96|Abram Sidings|||ABRAMSG||f|f|f|||
97|Accrington|ACR|255200|ACRNGTN|29061|t|f|f||375730|428575
98|Achanalt|AAT|860000|ACHANLT|1081|t|f|f||226020|861473
99|Acheildh||864770|ACHLDH|1028|f|f|f|||
100|Acheres (France)||080660|ACHERES|752|f|f|f|||
101|Achnasheen|ACN|860100|ACHNSHN|1079|t|f|f||216403|858519
102|Achnasheen Civil Engineer||860161|ACHNSCE|1080|f|f|f|||
103|Achnashellach|ACH|860200|ACHHSHL|1078|t|f|f||200290|848440
104|Achnashellach Balnacra Level Crossing||860210|ACHHBLC|1078|f|f|f|||
105|Achterneed||863280|ACTRNED|1087|f|f|f|||
106|Acklington|ACK|766200|ACKLNGT|12115|t|f|f||422200|601500
107|Acle|ACL|728600|ACLE|48056|t|f|f||639900|310000
108|Acocks Green|ACG|452900|ACOCKSG|66430|t|f|f||412400|283500
109|Acton Bridge|ACB|228700|ACBG|37001|t|f|f||359870|374560
110|Acton Canal Wharf||140401|ACTCWHF|72235|f|f|f|||
111|Acton Central|ACC|140400|ACTNCTL|72252|t|f|f||520645|180295
112|Acton East|||ACTONE||f|f|f|||
113|Acton Foster Yeoman||300111|ACTONFY|73238|f|f|f|||
114|Acton Goods Loops||||73239|f|f|f|||
115|Acton Grange Junction||238401|ACGJN|35555|f|f|f|||
116|Acton Grange Norton Level Crossing||238402|ACGJNLX|35588|f|f|f|||
117|Acton Lane Reception Sidings||142427|ACTNLRS|72211|f|f|f|||
118|Acton Lane Reception Sidings GB Railfreight||142424|ACTNLRG|72209|f|f|f|||
119|Acton Locomotive Holding Sidings||300060|ACTOLHS|73249|f|f|f|||
120|Acton Main Line|AML|300000|ACTONML|73240|t|f|f||520360|181230
121|Acton Signal SN177||300011|ACTO177||f|f|f|||
122|Acton Terminal Complex|XAX|300100|ACTONTC|73250|f|f|f|||
123|Acton Town LT|ZAT|050000|||t|f|f|||
124|Acton Wells Junction||140402|ACWLJN|72251|f|f|f|||
125|Acton West|ACW|300058|ACTONW|73251|t|f|f|||
126|Acton Yard English Welsh & Scottish Railway||300104|ACTOEWS|73235|f|f|f|||
127|Acton Yard Foster Yeoman||||73105|f|f|f|||
128|Acton Yard GB Railfreight||300010|ACTOGBR|73248|f|f|f|||
129|Acton Yard London Redland Roof Tiles||||73237|f|f|f|||
130|Acton Yard [unknown feature]||||73990|f|f|f|||
131|Adderley Park|ADD|103600|ADERLYP|65614|t|f|f||409880|287250
132|Addiewell|ADW|931000|ADIEWEL|4090|t|f|f||299500|662300
133|Addiscombe|ACM|504500|ADSCMB|88324|t|f|f|||
134|Addlestone|ASN|555000|ADLESTN|86011|t|f|f||505587|164866
135|Addlestone Junction||555060|ADLESTJ|86010|f|f|f|||
136|Adisham|ADM|516000|ADISHAM|89514|t|f|f||623391|153976
137|Adlington (Cheshire)|ADC|293900|ADLC|32575|t|f|f||391200|380300
138|Adlington (Lancashire)|ADL|264100|ADNL|30321|t|f|f||360200|413135
139|Adswood Road Junction||277101|ADSWDRD|32561|f|f|f|||
140|Adwick|AWK|835300|ADWICK|23118|t|f|f||454375|408725
141|Adwick Junction||835411|ADWICKJ|23120|f|f|f|||
142|Agecroft Junction||292902|AGCRFTJ|31563|f|f|f|||
143|Aigburth|AIG|225500|AIGBURT|36086|t|f|f||338400|385700
144|Aime La Plagne||270200|||f|f|f|||
145|Ainsdale|ANS|235000|AINSDAL|36062|t|f|f||331101|412224
146|Aintree|AIN|212500|AINTREE|36027|t|f|f||336625|397890
147|Aintree Metal Box||212517|AINTRMB||f|f|f|||
148|Aintree Sefton Junction||212501|AINTSFJ|36027|f|f|f|||
149|Aintree Signal 1206||212502|AINT206|36026|f|f|f|||
150|Airbles|AIR|969500|AIRBLES|7476|t|f|f||275034|656191
151|Airdrie|ADR|975900|AIRDRIE|7327|t|f|f||276000|665200
152|Airdrie Carriage Sidings||975950|AIRDCS|7326|f|f|f|||
